Q	5000	4046921564	45442	37308	0.00640927
H	5000	4046921564	75770	171342	0.0180551
Q	5000	3414461629	43064	40221	0.00727462
H	5000	3414461629	75535	171234	0.0186006
Q	5000	866390429	45080	38052	0.00662934
H	5000	866390429	75790	171408	0.0194584
Q	5000	3381393928	54869	38853	0.00711098
H	5000	3381393928	75688	171429	0.0208596
Q	5000	4147872046	47836	39048	0.00723951
H	5000	4147872046	75863	171363	0.0192394
Q	10000	4101773720	109201	83118	0.0148943
H	10000	4101773720	166276	372657	0.0428068
Q	10000	2354156571	97241	83493	0.0146409
H	10000	2354156571	166526	372762	0.0499157
Q	10000	728298600	106882	83385	0.0156947
H	10000	728298600	166337	372582	0.0435636
Q	10000	1782583867	94572	86079	0.0157097
H	10000	1782583867	166320	372531	0.0430535
Q	10000	1363183670	90352	87012	0.0149258
H	10000	1363183670	166440	372678	0.0425038
Q	20000	2665060872	228485	171300	0.030497
H	20000	2665060872	362779	805080	0.101372
Q	20000	2133507190	221658	182004	0.0342913
H	20000	2133507190	362846	805215	0.098953
Q	20000	581401801	221748	178005	0.0322538
H	20000	581401801	363061	805638	0.0999962
Q	20000	3139863524	224654	182811	0.0330582
H	20000	3139863524	362957	805551	0.0981679
Q	20000	4018798593	225370	179415	0.0324492
H	20000	4018798593	362585	805170	0.0998492
Q	50000	1479039751	676127	495588	0.0919122
H	50000	1479039751	1006447	2211687	0.288057
Q	50000	3511476829	597525	501303	0.0913943
H	50000	3511476829	1006506	2212284	0.288231
Q	50000	3402280705	605556	491550	0.0916234
H	50000	3402280705	1005939	2211165	0.304555
Q	50000	2269348985	612227	486777	0.092612
H	50000	2269348985	1006560	2212380	0.304596
Q	50000	2113675821	589473	497757	0.0952271
H	50000	2113675821	1006990	2212881	0.301636
Q	70000	2616331242	904285	710847	0.13823
H	70000	2616331242	1460340	3194871	0.44618
Q	70000	1701199960	875510	730629	0.142174
H	70000	1701199960	1459418	3193002	0.450141
Q	70000	3075629275	903246	693933	0.139055
H	70000	3075629275	1460545	3193746	0.446315
Q	70000	1950179995	949411	697227	0.138672
H	70000	1950179995	1459941	3193854	0.448851
Q	70000	37668611	889916	713478	0.13952
H	70000	37668611	1460768	3195255	0.441973
Q	90000	1424846382	1369999	931710	0.191268
H	90000	1424846382	1925591	4211913	0.600811
Q	90000	390232451	1159773	948465	0.187009
H	90000	390232451	1925834	4211661	0.602517
Q	90000	2708277327	1182955	943638	0.183934
H	90000	2708277327	1925501	4211568	0.593537
Q	90000	3091412161	1150525	940872	0.180939
H	90000	3091412161	1925000	4210944	0.593647
Q	90000	1986949382	1230058	929829	0.181338
H	90000	1986949382	1925588	4212642	0.591314
